Majority Group,Tracts,Population,Population with Access,Area (sqm),Green Space Area (sqm),Percent Population with Access,Green Space Per Person (sqm)
Mixed,157,617040,467342,120638504,9866004,75.7,16.0
NonWhite,478,1553751,985254,349844708,19049647,63.4,12.3
White,152,508517,376346,88146067,7755177,74.0,15.3
